"Metaphor","SubMetaphor","Title","Year","Author","Where.pub","Is.journal","DOI","Citations.doi","Citations.count"
"Lions",NA,"Lion pride optimizer: An optimization algorithm inspired by lion pride behavior",2012,"Bo Wang; XiaoPing Jin; Bo Cheng","Science China Information Sciences",TRUE,"10.1007/s11432-012-4548-0",10.1007/s11432-012-4548-0,  41
"Locusts",NA,"An Analysis of Locust Swarms on Large Scale Global Optimization Problems",2009,"Stephen Chen","Artificial Life: Borrowing from Biology",FALSE,"10.1007/978-3-642-10427-5_21",10.1007/978-3-642-10427-5_21,   4
"Mayflies",NA,"A mayfly optimization algorithm",2020,"Konstantinos Zervoudakis; Stelios Tsafarakis","Computers & Industrial Engineering",TRUE,"10.1016/j.cie.2020.106559",10.1016/j.cie.2020.106559,  35
"Markets",NA,"Exchange market algorithm",2014,"Naser Ghorbani; Ebrahim Babaei","Applied Soft Computing",TRUE,"10.1016/j.asoc.2014.02.006",10.1016/j.asoc.2014.02.006, 108
"Marine Predators",NA,"Marine Predators Algorithm: A nature-inspired metaheuristic",2020,"Afshin Faramarzi; Mohammad Heidarinejad; Seyedali Mirjalili; Amir H. Gandomi","Expert Systems with Applications",TRUE,"10.1016/j.eswa.2020.113377",10.1016/j.eswa.2020.113377, 149
"Meerkats",NA,"Meerkats-inspired Algorithm for Global Optimization Problems",2018,"Carlos Eduardo Klein; Leandro dos Santos Coelho","Proceedings of the European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning",FALSE,NA,NA,NA
"Mice","Wild Mice","A New Algorithm: Wild Mice Colony Algorithm (WMC)",2019,"S Nejatian; R Omidvar; H Parvin; V Rezaei; M Yasrebi","TABRIZ JOURNAL OF ELECTRICAL ENGINEERING",TRUE,NA,NA,NA
"Mine Explosions",NA,"Mine blast algorithm for optimization of truss structures with discrete variables",2012,"Ali Sadollah; Ardeshir Bahreininejad; Hadi Eskandar; Mohd Hamdi","Computers & Structures",TRUE,"10.1016/j.compstruc.2012.03.013",10.1016/j.compstruc.2012.03.013, 111
"Molecular Dynamics",NA,"Atom search optimization and its application to solve a hydrogeologic parameter estimation problem",2019,"Weiguo Zhao; Liying Wang; Zhenxing Zhang","Knowledge-Based Systems",TRUE,"10.1016/j.knosys.2018.08.030",10.1016/j.knosys.2018.08.030, 109
"Monkeys","Monkey Foraging","Monkey search: a novel metaheuristic search for global optimization",2007,"Antonio Mucherino; Onur Seref; Onur Seref; O. Erhun Kundakcioglu; Panos Pardalos","AIP Conference Proceedings",FALSE,"10.1063/1.2817338",10.1063/1.2817338, 112
"Monkeys","Spider Monkeys","Spider Monkey Optimization algorithm for numerical optimization",2014,"Jagdish Chand Bansal; Harish Sharma; Shimpi Singh Jadon; Maurice Clerc","Memetic Computing",TRUE,"10.1007/s12293-013-0128-0",10.1007/s12293-013-0128-0, 238
"Mountain Climbers",NA,"Human-Inspired Algorithms for continuous function optimization",2009,"Luna Mingyi Zhang; Cheyenne Dahlmann; Yanqing Zhang","2009 IEEE International Conference on Intelligent Computing and Intelligent Systems",FALSE,"10.1109/icicisys.2009.5357838",10.1109/icicisys.2009.5357838,  19
"Moths",NA,"Moth-flame optimization algorithm: A novel nature-inspired heuristic paradigm",2015,"Seyedali Mirjalili","Knowledge-Based Systems",TRUE,"10.1016/j.knosys.2015.07.006",10.1016/j.knosys.2015.07.006,1252
